username,white_wins,black_wins
tong1995,1,2
tony98000,1,2
totoj,0,2
udav202,0,2
ultranice,1,2
vadim52,0,2
vahehabram,1,2
vanquil,0,2
varujan1,1,2
vector1,0,2
verikt,1,2
vevo57,1,2
vibraz,0,2
viljamijii,0,2
vitallii83,0,2
vlad48,0,2
vladimirzozulya1500,0,2
wachmacher,0,2
wall-of-shields,0,2
walywin,0,2
wolfbrotherwolf,0,2
xgen,0,2
xlarevo,0,2
xxmlgswegxx,1,2
yenyen,0,2
yersinia,0,2
yosoyfenix,0,2
youngmoney2299,1,2
yura1204,1,2
zugaddict,1,2
zviad2016,0,2
zzhdan,0,2
1111112222,0,1
334,0,1
89178820401,0,1
a-devi,0,1
a55s72,0,1
a9200012,0,1
aa22bb,0,1
aabmuslim,0,1
aaoott,0,1
aart7778797,0,1
abba111,0,1
abcd1611,0,1
abdalla1,0,1
abdo72,0,1
abdollahi41347,0,1
abdosalah,0,1
abdoshepl,0,1
abdulmajeed21,0,1
abekabek,0,1
abel233,0,1
abhydtech,0,1
abidara,0,1
abiyogenez,0,1
abmarac,0,1
abner93rubiks,0,1
abolfazlm72,0,1
abondano,0,1
aboohanafi,0,1
abricot,0,1
abrigo,0,1
abstractmind_77,0,1
absyntheminded,0,1
acadakic,0,1
achikotetunashvili,0,1
acidrain89,0,1
acye,0,1
adamsoun,0,1
adarsh2001,0,1
addgun,0,1
addytino,0,1
addyw,0,1
adesh46,0,1
adesso,0,1
adikamat,0,1
adilet123,0,1
admirim_i,0,1
adrian123456789,0,1
aev,0,1
aevitiello,0,1
afgalin,0,1
africool,0,1
afysan,0,1
agremond,0,1
aguilajc,0,1
agustincfco,0,1
agvega14,0,1
ahaanomegas,0,1
ahm7777,0,1
ahmad1,0,1
ahmad909,0,1
ahmad___salehi1367,0,1
ahmed-1977,0,1
ahmedmachine,0,1
ahmet_d,0,1
ahmethamit,0,1
ahtoxa82,0,1
aibashov_azamat,0,1
aig,0,1
aigus,0,1
aikidable,0,1
aimery,0,1
ajay_27,0,1
ajdar1360,0,1
ajps17,0,1
ajveno,0,1
akhenaton,0,1
akin_fatih,0,1
akula2708,0,1
alalkant,0,1
albacea,0,1
albarnal,0,1
alber85,0,1
albert_vicario,0,1
albertocdj,0,1
albertolondonom,0,1
alc_rabie,0,1
alcaponehun,0,1
alcewere,0,1
aldar_khaidakov,0,1
aldok,0,1
aldomorphy,0,1
alecs,0,1
aleechi,0,1
alejandro555,0,1
alejandro_spb,0,1
alejandroalfaroq,0,1
aleks22,0,1
aleks7397,0,1
aleksander_80,0,1
aleksandr60,0,1
aleksandrs79,0,1
aleksandrsedleckij,0,1
aletranger,0,1
alevipj,0,1
alex198013,0,1
alex7kr_ru,0,1
alex_smite,0,1
